Medicine_ID,Medicine_Name,Category,Stock_Quantity,Price_per_unit,Supplier_Name,Expiry_Date,Purchase_Date,Reorder_Level,Prescription_Required,Units_Sold,Storage_Location
MED001,Azithromycin,Injection,373,363.88,Healthcare Distributors,28-07-2027,05-12-2026,23,NO,299,Rack C
MED002,Ibuprofen,Injection,12,512,Apollo Meds,20-10-2026,12-09-2025,98,YES ,53,Shelf 1
MED003,Vitamin C,Tablet,131,213.9,Healthcare Distributors,12-01-2026,29-10-2025,98,YES ,73,Cold Storage
MED004,Cetirizine,Syrup,467,421.11,Medlife Suppliers,06-04-2027,01-12-2026,74,NO,151,Rack A
MED005,Azithromycin,Capsule,229,242,Abc Pharma,28-07-2027,26-07-2027,68,NO,247,Rack A
MED006,Cetirizine,Syrup,110,424.89,Medlife Suppliers,20-10-2026,30-01-2025,62,NO,285,Shelf 1
MED007,Paracetamol,Capsule,487,250.12,Medlife Suppliers,12-01-2026,08-11-2025,88,YES ,163,Cold Storage
MED008,Omeprazole,Tablet,489,366,Sun Pharma,06-04-2027,21-04-2026,39,NO,293,Rack A
MED009,Insulin,Injection,419,512.2,Apollo Meds,02-11-2027,01-10-2027,96,YES ,6,Shelf 2
MED010,Vitamin C,Capsule,240,476.77,Abc Pharma,20-10-2026,12-06-2025,67,YES ,44,Rack A
MED011,Omeprazole,Tablet,408,360,Healthcare Distributors,12-01-2026,12-07-2025,66,YES ,0,Rack A
MED012,Vitamin C,Capsule,98,119.78,Apollo Meds,06-04-2027,18-05-2026,96,YES ,153,Rack B
MED013,Metfromin,Syrup,73,250.66,Healthcare Distributors,28-07-2027,15-05-2025,64,NO,13,Shelf 1
MED014,Vitamin C,Capsule,210,250,Abc Pharma,17-09-2028,24-08-2026,34,YES ,3,Shelf 2
MED015,Dolo 650,Capsule,41,427,Healthcare Distributors,29-10-2026,31-03-2024,37,YES ,162,Shelf 1
MED016,Insulin,Injection,367,422.43,Apollo Meds,28-07-2025,04-12-2024,84,NO,174,Rack A
MED017,Paracetamol,Tablet,435,634.4,Healthcare Distributors,21-10-2028,12-11-2027,99,YES ,279,Shelf 1
MED018,Metfromin,Syrup,180,522,Medlife Suppliers,12-01-2026,08-09-2025,90,NO,98,Cold Storage
MED019,Amoxicillin,Injection,36,356.53,Abc Pharma,06-04-2027,16-09-2025,90,NO,155,Shelf 1
MED020,Ibuprofen,Tablet,229,242.66,Medlife Suppliers,28-07-2027,05-12-2026,29,YES ,208,Rack C
MED021,Azithromycin,Injection,343,643.77,Medlife Suppliers,20-10-2026,12-09-2025,41,YES ,294,Shelf 1
MED022,Ibuprofen,Injection,248,124.9,Sun Pharma,12-12-2026,05-12-2026,26,YES ,87,Rack C
MED023,Vitamin C,Tablet,843,123,Apollo Meds,06-04-2027,12-09-2025,24,YES ,293,Rack C
MED024,Cetirizine,Syrup,23,534,Abc Pharma,02-11-2027,29-10-2025,85,YES ,41,Cold Storage
MED025,Azithromycin,Capsule,64,412.52,Healthcare Distributors,20-10-2026,01-12-2025,71,NO,276,Rack B
MED026,Cetirizine,Syrup,132,326.89,Apollo Meds,12-01-2026,26-07-2024,26,NO,191,Rack A
MED027,Paracetamol,Capsule,923,76.34,Healthcare Distributors,06-04-2027,30-01-2025,96,YES ,7,Shelf 1
MED028,Omeprazole,Injection,24,324.22,Abc Pharma,28-07-2027,08-11-2025,35,NO,166,Shelf 2
MED029,Insulin,Injection,922,532.64,Healthcare Distributors,17-09-2028,21-04-2027,55,YES ,12,Cold Storage
MED030,Vitamin C,Tablet,213,120,Apollo Meds,29-10-2026,01-10-2026,43,YES ,162,Shelf 1
MED031,Omeprazole,Syrup,53,100.1,Healthcare Distributors,28-07-2027,12-06-2025,89,YES ,264,Rack A
MED032,Vitamin C,Capsule,74,756.88,Medlife Suppliers,20-10-2026,12-07-2025,70,YES ,7,Rack B
MED033,Metfromin,Syrup,134,479,Abc Pharma,12-01-2026,18-05-2024,95,NO,90,Rack A
MED034,Vitamin C,Capsule,642,500,Medlife Suppliers,06-04-2027,15-05-2025,12,YES ,300,Shelf 1
MED035,Dolo 651,Tablet,757,639.55,Medlife Suppliers,28-07-2027,24-08-2026,75,NO,4,Rack B
MED036,Insulin,Injection,123,423.23,Sun Pharma,20-10-2026,31-03-2024,90,YES ,164,Cold Storage
MED037,Paracetamol,Capsule,21,421.89,Apollo Meds,12-01-2026,04-12-2025,93,YES ,259,Rack A
MED038,Metfromin,Tablet,865,789.09,Abc Pharma,06-04-2027,12-11-2026,29,YES ,212,Cold Storage
MED039,Amoxicillin,Capsule,13,421.54,Healthcare Distributors,02-11-2027,08-09-2025,84,NO,167,Rack A
MED040,Ibuprofen,Syrup,75,642,Apollo Meds,20-10-2026,16-09-2025,49,YES ,135,Shelf 2
MED041,Azithromycin,Capsule,242,878.23,Healthcare Distributors,12-01-2026,05-12-2025,50,NO,204,Rack B
MED042,Ibuprofen,Capsule,756,535,Abc Pharma,06-04-2027,12-09-2025,66,NO,155,Shelf 2
MED043,Vitamin C,Injection,24,122,Healthcare Distributors,28-07-2027,05-12-2026,23,YES ,295,Shelf 1
MED044,Cetirizine,Tablet,543,214,Apollo Meds,17-09-2028,12-09-2025,45,NO,184,Cold Storage
MED045,Azithromycin,Syrup,132,543,Healthcare Distributors,29-10-2026,29-10-2025,76,YES ,59,Rack A
MED046,Cetirizine,Injection,127,523.99,Medlife Suppliers,28-07-2027,01-12-2026,34,YES ,265,Cold Storage
MED047,Paracetamol,Tablet,154,653.33,Abc Pharma,20-10-2026,26-07-2024,78,YES ,23,Shelf 2
MED048,Omeprazole,Injection,242,543.55,Medlife Suppliers,12-01-2026,30-01-2025,47,YES ,246,Rack B
MED049,Insulin,Injection,432,134.69,Medlife Suppliers,06-04-2027,08-11-2025,93,YES ,110,Rack A
MED050,Vitamin C,Tablet,12,437.99,Sun Pharma,28-07-2027,21-04-2026,30,YES ,132,Rack C
MED051,Omeprazole,Syrup,42,462.44,Apollo Meds,20-10-2027,01-10-2027,56,YES ,33,Rack A
MED052,Vitamin C,Capsule,75,423.78,Abc Pharma,12-01-2026,12-06-2025,23,NO,179,Rack A
MED053,Metfromin,Syrup,235,422.44,Healthcare Distributors,06-04-2027,12-07-2025,57,NO,130,Rack B
MED054,Vitamin C,Capsule,235,764,Apollo Meds,02-11-2027,18-05-2026,74,NO,53,Rack B
MED055,Dolo 652,Injection,856,643,Healthcare Distributors,20-10-2026,15-05-2025,34,YES ,267,Shelf 1
