ds,yhat
2024-07-26,256.17311290222085
2024-10-01,289.53275983474083
2025-01-01,355.6572009138942
2025-01-02,363.8277099279642
2025-01-03,370.1022508553147
2025-01-04,353.1730306476806
2025-01-05,415.2900278368851
2025-01-06,446.5009763053294
2025-01-07,359.6545447821748
2025-01-08,430.3370704594354
2025-01-09,437.12235177534427
2025-01-10,441.1138770607917
2025-01-11,421.0456751271788
2025-01-12,479.22047660756255
2025-01-13,505.74881630728646
2025-01-14,413.5512822113486
2025-01-15,478.2942787196187
2025-01-16,478.6388147868879
2025-01-17,475.7816960584159
2025-01-19,499.36466798250945
2025-01-20,518.4253986503553
2025-01-21,418.7647816863512
2025-01-22,476.15629898332236
2025-01-23,469.36714456607234
2025-01-24,459.6980955700171
2025-01-25,426.08193071357647
2025-01-26,471.0190904146186
2025-01-27,484.81421723558753
2025-01-28,380.57579494808755
2025-01-29,434.14927162884493
2025-01-30,424.3632012112811
2025-01-31,412.56781270208296
2025-02-01,377.73222940780886
2025-02-02,422.379067460845
2025-02-03,436.8200887453336
2025-02-04,334.15516303072536
2025-02-05,390.2049599640692
2025-02-06,383.75693785049657
2025-02-07,376.104066810036
2025-02-08,346.14253144073524
2025-02-09,396.3071581546259
2025-02-10,416.8082500847321
2025-02-11,320.6320830966398
2025-02-12,383.4754724464248
2025-02-13,383.99395566086446
2025-02-15,360.2784194020605
2025-02-16,417.0947489087002
2025-02-17,443.86510794494944
2025-02-18,353.4448287813706
2025-02-19,421.4091309356692
2025-02-20,426.3043268141702
2025-02-21,429.19188109766253
2025-02-22,408.75144633541487
2025-02-23,467.22148990611026
2025-02-24,494.64106118629127
2025-02-25,403.8548179197034
2025-02-26,470.45159012806073
2025-02-27,473.01590315599304
2025-03-01,448.1847374110544
2025-03-02,501.90116130819047
2025-03-03,523.9876728728558
2025-03-04,427.4335895104613
2025-03-05,487.98623649945836
2025-03-06,484.39878674284535
2025-03-07,477.969974445144
2025-03-09,495.9345125532466
2025-03-10,513.1808428531207
2025-03-11,412.524597608281
2025-03-12,469.851223228662
2025-03-13,464.0316512460628
2025-03-15,426.1399508931057
2025-03-16,475.63332858925634
2025-03-17,495.27679370557667
