Medicine_ID,Medicine_Name,Category,Stock_Quantity,Price_per_unit,Supplier_Name,Expiry_Date,Purchase_Date,Reorder_Level,Prescription_Required,Units_Sold,Storage_Location,days_to_expiry,Status
MED001,Azithromycin,Injection,373.0,363.88,Healthcare Distributors,2027-07-28,05-12-2026,23.0,NO,299.0,Rack C,432.0,Safe
MED002,Ibuprofen,Injection,12.0,512.0,Apollo Meds,2026-10-20,12-09-2025,98.0,YES ,53.0,Shelf 1,151.0,Safe
MED003,Vitamin C,Tablet,131.0,213.9,Healthcare Distributors,2026-01-12,29-10-2025,98.0,YES ,73.0,Cold Storage,-130.0,Expired
MED004,Cetirizine,Syrup,467.0,421.11,Medlife Suppliers,2027-04-06,01-12-2026,74.0,NO,151.0,Rack A,319.0,Safe
MED005,Azithromycin,Capsule,229.0,242.0,Abc Pharma,2027-07-28,26-07-2027,68.0,NO,247.0,Rack A,432.0,Safe
MED006,Cetirizine,Syrup,110.0,424.89,Medlife Suppliers,2026-10-20,30-01-2025,62.0,NO,285.0,Shelf 1,151.0,Safe
MED007,Paracetamol,Capsule,487.0,250.12,Medlife Suppliers,2026-01-12,08-11-2025,88.0,YES ,163.0,Cold Storage,-130.0,Expired
MED008,Omeprazole,Tablet,489.0,366.0,Sun Pharma,2027-04-06,21-04-2026,39.0,NO,293.0,Rack A,319.0,Safe
MED009,Insulin,Injection,419.0,512.2,Apollo Meds,2027-11-02,01-10-2027,96.0,YES ,6.0,Shelf 2,529.0,Safe
MED010,Vitamin C,Capsule,240.0,476.77,Abc Pharma,2026-10-20,12-06-2025,67.0,YES ,44.0,Rack A,151.0,Safe
MED011,Omeprazole,Tablet,408.0,360.0,Healthcare Distributors,2026-01-12,12-07-2025,66.0,YES ,0.0,Rack A,-130.0,Expired
MED012,Vitamin C,Capsule,98.0,119.78,Apollo Meds,2027-04-06,18-05-2026,96.0,YES ,153.0,Rack B,319.0,Safe
MED013,Metfromin,Syrup,73.0,250.66,Healthcare Distributors,2027-07-28,15-05-2025,64.0,NO,13.0,Shelf 1,432.0,Safe
MED014,Vitamin C,Capsule,210.0,250.0,Abc Pharma,2028-09-17,24-08-2026,34.0,YES ,3.0,Shelf 2,849.0,Safe
MED015,Dolo 650,Capsule,41.0,427.0,Healthcare Distributors,2026-10-29,31-03-2024,37.0,YES ,162.0,Shelf 1,160.0,Safe
MED016,Insulin,Injection,367.0,422.43,Apollo Meds,2025-07-28,04-12-2024,84.0,NO,174.0,Rack A,-298.0,Expired
MED017,Paracetamol,Tablet,435.0,634.4,Healthcare Distributors,2028-10-21,12-11-2027,99.0,YES ,279.0,Shelf 1,883.0,Safe
MED018,Metfromin,Syrup,180.0,522.0,Medlife Suppliers,2026-01-12,08-09-2025,90.0,NO,98.0,Cold Storage,-130.0,Expired
MED019,Amoxicillin,Injection,36.0,356.53,Abc Pharma,2027-04-06,16-09-2025,90.0,NO,155.0,Shelf 1,319.0,Safe
MED020,Ibuprofen,Tablet,229.0,242.66,Medlife Suppliers,2027-07-28,05-12-2026,29.0,YES ,208.0,Rack C,432.0,Safe
MED021,Azithromycin,Injection,343.0,643.77,Medlife Suppliers,2026-10-20,12-09-2025,41.0,YES ,294.0,Shelf 1,151.0,Safe
MED022,Ibuprofen,Injection,248.0,124.9,Sun Pharma,2026-12-12,05-12-2026,26.0,YES ,87.0,Rack C,204.0,Safe
MED023,Vitamin C,Tablet,843.0,123.0,Apollo Meds,2027-04-06,12-09-2025,24.0,YES ,293.0,Rack C,319.0,Safe
MED024,Cetirizine,Syrup,23.0,534.0,Abc Pharma,2027-11-02,29-10-2025,85.0,YES ,41.0,Cold Storage,529.0,Safe
MED025,Azithromycin,Capsule,64.0,412.52,Healthcare Distributors,2026-10-20,01-12-2025,71.0,NO,276.0,Rack B,151.0,Safe
MED026,Cetirizine,Syrup,132.0,326.89,Apollo Meds,2026-01-12,26-07-2024,26.0,NO,191.0,Rack A,-130.0,Expired
MED027,Paracetamol,Capsule,923.0,76.34,Healthcare Distributors,2027-04-06,30-01-2025,96.0,YES ,7.0,Shelf 1,319.0,Safe
MED028,Omeprazole,Injection,24.0,324.22,Abc Pharma,2027-07-28,08-11-2025,35.0,NO,166.0,Shelf 2,432.0,Safe
MED029,Insulin,Injection,922.0,532.64,Healthcare Distributors,2028-09-17,21-04-2027,55.0,YES ,12.0,Cold Storage,849.0,Safe
MED030,Vitamin C,Tablet,213.0,120.0,Apollo Meds,2026-10-29,01-10-2026,43.0,YES ,162.0,Shelf 1,160.0,Safe
MED031,Omeprazole,Syrup,53.0,100.1,Healthcare Distributors,2027-07-28,12-06-2025,89.0,YES ,264.0,Rack A,432.0,Safe
MED032,Vitamin C,Capsule,74.0,756.88,Medlife Suppliers,2026-10-20,12-07-2025,70.0,YES ,7.0,Rack B,151.0,Safe
