Medicine_ID,Medicine_Name,Category,Stock_Quantity,Price_per_unit,Supplier_Name,Expiry_Date,Purchase_Date,Reorder_Level,Prescription_Required,Units_Sold,Storage_Location
MED002,Ibuprofen,Injection,12.0,512.0,Apollo Meds,20-10-2026,12-09-2025,98.0,YES,53.0,Shelf 1
MED039,Amoxicillin,Capsule,13.0,421.54,Healthcare Distributors,02-11-2027,08-09-2025,84.0,NO,167.0,Rack A
MED050,Vitamin C,Tablet,12.0,437.99,Sun Pharma,28-07-2027,21-04-2026,30.0,YES,132.0,Rack C
MED070,Vitamin C,Injection,12.0,344.78,Abc Pharma,20-10-2026,08-11-2025,112.0,YES,9.0,Rack B
MED093,Paracetamol,Capsule,13.0,234.0,Apollo Meds,12-01-2026,01-10-2024,97.0,YES,188.0,Rack C
MED130,Amoxicillin,Tablet,13.0,120.0,Apollo Meds,29-10-2026,01-10-2026,89.0,YES,134.0,Cold Storage
MED139,Omeprazole,Capsule,13.0,421.54,Healthcare Distributors,02-11-2027,08-09-2025,49.0,NO,159.0,Rack B
MED171,Cetirizine,Tablet,11.0,543.0,Healthcare Distributors,12-01-2026,23-04-2025,62.0,YES,295.0,Rack A
MED172,Azithromycin,Syrup,10.0,980.0,Apollo Meds,06-12-2027,01-10-2027,88.0,YES,136.0,Rack B
MED187,Ibuprofen,Syrup,12.0,799.0,Healthcare Distributors,06-04-2027,29-10-2025,85.0,YES,244.0,Shelf 1
MED231,Metformin,Tablet,13.0,162.9,Apollo Meds,16-07-2027,05-05-2025,38.0,YES,26.0,Rack A
MED240,Azithromycin,Capsule,13.0,89.95,Apollo Meds,18-02-2027,14-07-2025,86.0,NO,293.0,Rack A
MED254,Cetirizine,Syrup,12.0,340.59,Medisupply Co.,06-09-2028,02-02-2025,35.0,YES,28.0,Shelf 1
MED291,Insulin,Tablet,13.0,279.41,Wellness Pharma,06-11-2027,28-03-2025,35.0,NO,240.0,Cold Storage
MED302,Ibuprofen,Injection,12.0,491.54,Medisupply Co.,10-05-2028,29-03-2025,60.0,YES,107.0,Rack B
