ds,yhat
2025-01-01,6086.24404388
2025-02-01,5760.595474081724
2025-03-01,5466.461282006291
2025-04-01,5140.812712099481
2025-05-01,4825.668934689489
2025-06-01,4500.020364701847
2025-07-01,4184.876587192141
2025-08-01,3859.2280170401373
2025-09-01,3533.579446782211
2025-10-01,3218.4356674964756
2025-11-01,2892.7870954361742
2025-12-01,2577.6433160308447
2026-01-01,2251.994743896225
2026-02-01,1926.3461717751363
2026-03-01,1632.2119776207435
2026-04-01,1306.5634054590028
2026-05-01,991.4196260317548
2026-06-01,665.771054039545
2026-07-01,350.62727469224535
2026-08-01,24.97870270003554
2026-09-01,-300.66986929217427
2026-10-01,-615.8136486394746
2026-11-01,-941.4622206316851
2026-12-01,-1256.605999978984
2027-01-01,-1582.2545719711945
2027-02-01,-1907.9031439634036
2027-03-01,-2202.037338020884
2027-04-01,-2527.685910013094
2027-05-01,-2842.8296893603947
2027-06-01,-3168.478261352605
2027-07-01,-3483.622040699904
2027-08-01,-3809.2706126921144
2027-09-01,-4134.919184684324
2027-10-01,-4450.062964031624
