ds,yhat
2024-03-01,5394.435851093541
2024-04-01,4560.5185605877605
2024-05-01,6419.338013324299
2024-06-01,6508.09507064963
2024-07-01,7425.393677764081
2024-08-01,8397.97233949161
2024-09-01,7696.186857589308
2024-10-01,6862.851443640644
2024-11-01,6275.311081222976
2024-12-01,4581.646543523721
2025-01-01,10669.11740490804
2025-02-01,9177.370668266898
2025-03-01,4776.549784086985
2025-04-01,3813.6911466984566
2025-05-01,4862.616799085059
2025-06-01,4515.0143588057435
2025-07-01,5087.534762703209
2025-08-01,5587.4928998375935
2025-09-01,5078.782275503872
2025-10-01,4700.723338454169
2025-11-01,5788.946970494798
2025-12-01,5772.384079231015
2026-01-01,5434.216110201096
2026-02-01,5134.59616338842
2026-03-01,4213.516705593783
2026-04-01,3067.8189463784142
2026-05-01,3279.465964552066
2026-06-01,2495.877899728569
2026-07-01,2730.5056368773576
2026-08-01,2775.4836065854724
2026-09-01,2484.7157873273354
2026-10-01,2585.528494560544
2026-11-01,5337.805048885881
2026-12-01,6882.268567358719
2027-01-01,119.82117522863018
2027-02-01,1135.3171210335636
2027-03-01,3703.732748741195
2027-04-01,2320.896932775783
2027-05-01,1669.0310944997977
2027-06-01,450.726219834807
2027-07-01,355.18278164571853
2027-08-01,-36.609148505873236
2027-09-01,-84.87865391642322
2027-10-01,517.0184906670468
2027-11-01,4919.225241655098
2027-12-01,7908.297818287872
2028-01-01,-5270.359289780243
2028-02-01,-2817.188464096469
2028-03-01,-2397.0563049070565
2028-04-01,-3230.973827890431
2028-05-01,-1372.1546000945273
2028-06-01,-1283.397775235484
2028-07-01,-366.0993930712889
2028-08-01,606.4790362075087
2028-09-01,-95.3066781488551
2028-10-01,-928.6423170436863
