ds,yhat
2024-03-01,4386.006085154184
2024-04-01,5149.976804095454
2024-05-01,5337.522401728976
2024-06-01,6609.244710822095
2024-07-01,8112.080507167471
2024-08-01,7345.199724449334
2024-09-01,6671.049294585218
2024-10-01,6237.824226893773
2024-11-01,6457.875244465003
2024-12-01,2584.78179980221
2025-01-01,9382.753373149117
2025-02-01,7845.043027236894
2025-03-01,3755.527441666785
2025-04-01,4070.670640051093
2025-05-01,3926.5655982610297
2025-06-01,4624.702175226275
2025-07-01,5561.769374778996
2025-08-01,4997.694416635986
2025-09-01,4533.733876733658
2025-10-01,4405.248291986462
2025-11-01,4872.943240235842
2025-12-01,3771.1789097837764
2026-01-01,4786.705584914743
2026-02-01,4201.999043605033
2026-03-01,3167.910936299725
2026-04-01,2990.4479463157986
2026-05-01,2493.751978571323
2026-06-01,2613.7763884585956
2026-07-01,3001.365432276385
2026-08-01,2658.459793016068
2026-09-01,2413.732171806382
2026-10-01,2595.0786863895264
2026-11-01,3317.8305403325603
2026-12-01,4902.431809087301
2027-01-01,122.07034302826207
2027-02-01,595.5603155284227
2027-03-01,2621.655075910794
2027-04-01,1907.7825130730914
2027-05-01,1038.3087188749773
2027-06-01,576.6933814685891
2027-07-01,432.012772140881
2027-08-01,328.50357642190306
2027-09-01,311.64703558958604
2027-10-01,807.2099294045602
2027-11-01,1791.4344913578568
2027-12-01,5975.906520527457
2028-01-01,-4608.050561813596
2028-02-01,-2971.4426636630164
2028-03-01,-3141.7441163425265
2028-04-01,-2377.79078552205
2028-05-01,-2190.2620147222055
2028-06-01,-918.5570933735924
2028-07-01,584.2618762210682
2028-08-01,-182.63629466346265
2028-09-01,-856.804112701875
2028-10-01,-1290.0460070639197
2028-11-01,-1070.0123773783916
