ds,yhat
2025-01-01,-58.4962341
2025-02-01,-14.975798199700595
2025-03-01,24.332982585184986
2025-04-01,67.85341840617603
2025-05-01,109.96996915711517
2025-06-01,153.4904050041258
2025-07-01,195.6069557737658
2025-08-01,239.1273915752591
2025-09-01,282.6478274005046
2025-10-01,324.76437817328366
2025-11-01,368.28481397182213
2025-12-01,410.40136474460127
2026-01-01,453.9218005431396
2026-02-01,497.4422363416781
2026-03-01,536.7510170629386
2026-04-01,580.271452861477
2026-05-01,622.3880036342563
2026-06-01,665.9084394327946
2026-07-01,708.0249902055737
2026-08-01,751.5454260041122
2026-09-01,795.0658618026506
2026-10-01,837.1824125754298
2026-11-01,880.7028483739682
2026-12-01,922.8193991467473
