ds,yhat
2024-03-01,3073.9524239774946
2024-04-01,3410.827243388239
2024-05-01,4236.128126327963
2024-06-01,4192.257439462774
2024-07-01,6017.003198145101
2024-08-01,4154.45837186706
2024-09-01,4400.916617179132
2024-10-01,4748.92555172761
2024-11-01,3610.3857370514797
2024-12-01,2402.8266173717093
2025-01-01,7541.101657110276
2025-02-01,3954.356521591349
2025-03-01,2661.655269842912
2025-04-01,2761.64214067647
2025-05-01,3198.6405921610153
2025-06-01,2969.8755693196795
2025-07-01,4213.921000004396
2025-08-01,2763.9793464863556
2025-09-01,2953.2605425730226
2025-10-01,3364.6752360328574
2025-11-01,3343.241878252252
2025-12-01,2995.5061496180806
2026-01-01,3583.501639420073
2026-02-01,2270.474967375718
2026-03-01,2270.952246918274
2026-04-01,2108.1150796075926
2026-05-01,2145.5320196673733
2026-06-01,1730.1500230756824
2026-07-01,2405.5104079835014
2026-08-01,1380.8988865397685
2026-09-01,1516.1528521450125
2026-10-01,2004.2174077266209
2026-11-01,3093.024887589825
2026-12-01,3532.3348287224994
2027-01-01,-408.9865967466237
2027-02-01,625.7760124089649
2027-03-01,1900.729499185721
2027-04-01,1449.2274199736
2027-05-01,1076.429494903118
2027-06-01,473.21495727764636
2027-07-01,592.610109451078
2027-08-01,5.727740120341977
2027-09-01,89.97508149009553
2027-10-01,667.3897513922632
2027-11-01,2858.126229506627
2027-12-01,4011.82212782475
2028-01-01,-4433.448570920741
2028-02-01,-978.5184774128211
2028-03-01,-1770.1221945983498
2028-04-01,-1433.2473977563784
2028-05-01,-607.9465366119141
2028-06-01,-651.8172460161179
2028-07-01,1172.9284908743275
2028-08-01,-689.6163578191133
2028-09-01,-443.1581348997412
2028-10-01,-95.14922201804961
