ds,yhat
2024-03-01,4113.417077281725
2024-04-01,5019.161514634781
2024-05-01,5688.727695090929
2024-06-01,6085.734296037104
2024-07-01,6058.432907131728
2024-08-01,6092.850860995164
2024-09-01,6749.417676338608
2024-10-01,5141.070517389968
2024-11-01,3842.483257703824
2024-12-01,3856.878182367116
2025-01-01,9440.171672405862
2025-02-01,6881.161234438427
2025-03-01,3709.9262283755043
2025-04-01,4121.0411034763565
2025-05-01,4333.277167545134
2025-06-01,4281.25063595814
2025-07-01,4007.5243437756267
2025-08-01,3967.273194555604
2025-09-01,4478.841991615267
2025-10-01,3485.6743690808335
2025-11-01,3390.2583207086273
2025-12-01,4562.800696927223
2026-01-01,4685.581147788649
2026-02-01,3952.6495083548007
2026-03-01,3342.6796920408515
2026-04-01,3217.8536403748076
2026-05-01,2956.4616415613855
2026-06-01,2456.203475482104
2026-07-01,1946.7209398000666
2026-08-01,1842.5491685240108
2026-09-01,2226.3152421461846
2026-10-01,1866.812030222511
2026-11-01,2960.521480409686
2026-12-01,5198.816210395064
2027-01-01,-123.81282806700449
2027-02-01,1069.30157345365
2027-03-01,3010.1139406475186
2027-04-01,2308.172617377129
2027-05-01,1557.7145816373668
2027-06-01,610.8003036724339
2027-07-01,-123.21351063934134
2027-08-01,-280.39507783457907
2027-09-01,-7.289390502237893
2027-10-01,284.096553084633
2027-11-01,2551.1135701692565
2027-12-01,5762.824934791175
2028-01-01,-4984.582378159128
2028-02-01,-1766.6703579768412
2028-03-01,-2514.6623912219607
2028-04-01,-1608.9179550199544
2028-05-01,-939.3517754970344
2028-06-01,-542.3451755362119
2028-07-01,-569.6465654045135
2028-08-01,-535.2286123578335
2028-09-01,121.3382021506095
2028-10-01,-1487.0089575983325
