ds,yhat
2025-01-01,4244.7217031
2025-02-01,4239.6764102421475
2025-03-01,4235.1193716902635
2025-04-01,4230.074079026275
2025-05-01,4225.191537893878
2025-06-01,4220.1462453105205
2025-07-01,4215.263704239071
2025-08-01,4210.218411809215
2025-09-01,4205.173119297692
2025-10-01,4200.290578004255
2025-11-01,4195.245285334368
2025-12-01,4190.362744040931
2026-01-01,4185.317451371045
2026-02-01,4180.272158701159
2026-03-01,4175.7151201606175
2026-04-01,4170.669827490731
2026-05-01,4165.787286197294
2026-06-01,4160.741993527407
2026-07-01,4155.85945223397
2026-08-01,4150.814159564085
2026-09-01,4145.768866894199
2026-10-01,4140.886325600762
2026-11-01,4135.841032930875
2026-12-01,4130.958491637438
