ds,yhat
2024-05-01,2248.1777058051066
2024-06-01,2935.2720061978443
2024-07-01,3829.682079069783
2024-08-01,3865.818079238795
2024-09-01,4258.330820660152
2024-10-01,3948.1653469132916
2024-11-01,2858.1202561243954
2024-12-01,2572.960555433549
2025-01-01,4240.711854626299
2025-02-01,1659.7413142685018
2025-03-01,3729.741051186731
2025-04-01,4377.6925597293875
2025-05-01,1850.7812714857405
2025-06-01,2205.3998947312994
2025-07-01,2749.0075093900346
2025-08-01,2578.5169101874644
2025-09-01,2699.176176993637
2025-10-01,2514.1588079946405
2025-11-01,2062.737306635248
2025-12-01,2415.6041447800458
2026-01-01,2025.500872945932
2026-02-01,1253.7847679814545
2026-03-01,2245.5627558571828
2026-04-01,2447.816125127537
2026-05-01,1471.7365847233891
2026-06-01,1468.8487401241775
2026-07-01,1654.7572477850883
2026-08-01,1280.0576857278238
2026-09-01,1138.869572366446
2026-10-01,1096.0570308995052
2026-11-01,1285.0497258784842
2026-12-01,2241.6429000885887
2027-01-01,-197.3233232763355
2027-02-01,852.2367053384122
2027-03-01,748.5186720854359
2027-04-01,533.312627971934
2027-05-01,1110.256042392274
2027-06-01,724.9164742286238
2027-07-01,546.8410816126768
2027-08-01,-29.20559329900567
2027-09-01,-421.89623645587193
2027-10-01,-305.7797170987928
2027-11-01,524.4887031317933
2027-12-01,2050.138725869508
2028-01-01,-2426.9660344524746
2028-02-01,454.6141763885209
2028-03-01,720.1826334171645
2028-04-01,1841.7247525905502
2028-05-01,-2232.1647170684837
2028-06-01,-1545.0704169507599
2028-07-01,-650.6603443340281
