ds,yhat
2024-03-01,4025.9515099240316
2024-04-01,4491.353490979004
2024-05-01,5632.461932195479
2024-06-01,6067.13084702149
2024-07-01,6785.294109262215
2024-08-01,5332.234696431604
2024-09-01,4963.413017088751
2024-10-01,7107.661332244929
2024-11-01,4175.128698118343
2024-12-01,2621.2858756950195
2025-01-01,8690.389350243468
2025-02-01,6971.8933087675905
2025-03-01,3531.7322413891143
2025-04-01,3669.820761297865
2025-05-01,4199.483054677385
2025-06-01,4231.683790333089
2025-07-01,4581.350700739926
2025-08-01,3472.5092938129524
2025-09-01,3235.440561825451
2025-10-01,5041.6825024535365
2025-11-01,3131.291770190603
2025-12-01,3586.040011169953
2026-01-01,4489.801726694417
2026-02-01,3871.2573228504943
2026-03-01,3074.721908668227
2026-04-01,2843.358812263774
2026-05-01,2744.325308034122
2026-06-01,2376.6942604286464
2026-07-01,2373.7222947353303
2026-08-01,1621.0394783479749
2026-09-01,1515.3096753119858
2026-10-01,2996.4547147272865
2026-11-01,2118.526587551093
2026-12-01,4497.602252807373
2027-01-01,231.18277468675473
2027-02-01,806.5493819354699
2027-03-01,2653.5012210226723
2027-04-01,2010.5203377107946
2027-05-01,1266.5262709787917
2027-06-01,502.4762401523036
2027-07-01,163.26457092273085
2027-08-01,-221.66113855622962
2027-09-01,-196.68814434219894
2027-10-01,972.159260519493
2027-11-01,1135.463883165332
2027-12-01,5353.581834751506
2028-01-01,-4082.678280216117
2028-02-01,-2219.932298250541
2028-03-01,-2566.857867152675
2028-04-01,-2101.457807257969
2028-05-01,-960.3512252782812
2028-06-01,-525.6842316790264
2028-07-01,192.47717119953086
2028-08-01,-1260.58416298865
2028-09-01,-1629.4077636976235
2028-10-01,514.8386920575354
2028-11-01,-2417.695863515762
