ds,yhat
2024-07-01,4981.435846445571
2024-08-01,7180.189664968652
2024-09-01,9243.054083910934
2024-10-01,8562.590499992346
2024-11-01,7149.489023814995
2024-12-01,6151.389941918267
2025-01-01,11720.348549990496
2025-02-01,5450.387341464125
2025-03-01,5981.090086143811
2025-04-01,8112.409987074629
2025-05-01,6948.204891957204
2025-06-01,11542.22900011651
2025-07-01,3502.683228360176
2025-08-01,4732.1422138096505
2025-09-01,5920.1951509095015
2025-10-01,5274.495709375681
2025-11-01,4533.256953816342
2025-12-01,4167.582427239387
2026-01-01,4983.40080639695
2026-02-01,3340.8315030279205
2026-03-01,4261.367294738862
2026-04-01,5075.631439276945
2026-05-01,4160.137140824725
2026-06-01,5293.665582155138
2026-07-01,2076.5866156553784
2026-08-01,2274.1024053555516
2026-09-01,2585.418437340899
2026-10-01,1991.4946955293576
2026-11-01,1919.7321246449696
2026-12-01,2133.1367770463276
2027-01-01,-1748.6756554473332
2027-02-01,1298.7895651988547
2027-03-01,2530.990514214804
2027-04-01,2007.5237318564905
2027-05-01,1326.691676523115
2027-06-01,-939.2954890349217
2027-07-01,701.8511376530156
2027-08-01,-195.08247837693148
2027-09-01,-761.2736446377468
2027-10-01,-1286.36633638636
2027-11-01,-691.8561480425728
2027-12-01,47.75547752911507
2028-01-01,-8472.240645293798
2028-02-01,-676.2904307373133
2028-03-01,-4762.38960986633
2028-04-01,-1336.1459384383998
2028-05-01,-2764.264611587586
2028-06-01,5348.476752391945
2028-07-01,-7473.213839699312
2028-08-01,-5274.460018083746
2028-09-01,-3211.5955955363784
2028-10-01,-3892.0591768224817
2028-11-01,-5305.160650269391
