ds,yhat
2024-03-01,5753.5967570141
2024-04-01,9086.502149210291
2024-05-01,9605.672381750752
2024-06-01,10747.983555284114
2024-07-01,10323.772619654299
2024-08-01,10228.955682548765
2024-09-01,11659.579131918272
2024-10-01,9568.28279316264
2024-11-01,7891.515241320965
2024-12-01,5213.4873660397525
2025-01-01,15328.311355756052
2025-02-01,11509.822446459038
2025-03-01,5129.269773663797
2025-04-01,7231.857222943118
2025-05-01,7144.34748126562
2025-06-01,7523.620627810436
2025-07-01,6949.644037350875
2025-08-01,6815.834512629723
2025-09-01,7974.378399966096
2025-10-01,6718.593491493675
2025-11-01,5881.061460867884
2025-12-01,6964.176519065946
2026-01-01,7649.501172701669
2026-02-01,6352.82246024021
2026-03-01,4561.70609502927
2026-04-01,5364.505382519151
2026-05-01,4650.779334183483
2026-06-01,4271.267446724509
2026-07-01,3565.2261765558706
2026-08-01,3403.8680402371856
2026-09-01,4311.03148211792
2026-10-01,3912.5498628909518
2026-11-01,3916.8235879938775
2026-12-01,8618.786396494346
2027-01-01,-126.84676488027645
2027-02-01,1265.549429080719
2027-03-01,4048.247503826668
2027-04-01,3482.3716728731824
2027-05-01,2124.2400016707525
2027-06-01,991.3790134210263
2027-07-01,171.53194375633768
2027-08-01,-5.80676115997062
2027-09-01,670.6884204378359
2027-10-01,1149.8018387759864
2027-11-01,1996.3930385266592
2027-12-01,10173.186397290776
2028-01-01,-7995.578994475281
2028-02-01,-3748.2811349017366
2028-03-01,-5727.693953096069
2028-04-01,-2394.788561752676
2028-05-01,-1875.618330026883
2028-06-01,-733.3071573623106
2028-07-01,-1157.518093828859
2028-08-01,-1252.3350317195145
2028-09-01,178.2884168512055
2028-10-01,-1913.0079227003257
2028-11-01,-3589.7754753160484
