Medicine_ID,Medicine_Name,Category,Stock_Quantity,Price_per_unit,Supplier_Name,Expiry_Date,Purchase_Date,Reorder_Level,Prescription_Required,Units_Sold,Storage_Location
MED001,Azithromycin,Injection,373.0,363.88,Healthcare Distributors,28-07-2027,05-12-2026,23.0,YES,299.0,Rack C
MED004,Cetirizine,Syrup,467.0,421.11,Medlife Suppliers,06-04-2027,01-12-2026,74.0,NO,151.0,Rack A
MED005,Azithromycin,Capsule,229.0,242.0,Abc Pharma,28-07-2027,26-07-2027,68.0,NO,247.0,Rack A
MED007,Paracetamol,Capsule,487.0,250.12,Medlife Suppliers,12-01-2026,08-11-2025,88.0,YES,163.0,Cold Storage
MED008,Omeprazole,Tablet,489.0,366.0,Sun Pharma,06-04-2027,21-04-2026,39.0,NO,293.0,Rack A
MED009,Insulin,Injection,419.0,512.2,Apollo Meds,02-11-2027,01-10-2027,96.0,YES,6.0,Shelf 2
MED010,Vitamin C,Capsule,240.0,476.77,Abc Pharma,20-10-2026,12-06-2025,67.0,YES,44.0,Rack A
MED011,Omeprazole,Tablet,408.0,360.0,Healthcare Distributors,12-01-2026,12-07-2025,66.0,YES,0.0,Rack A
MED014,Vitamin C,Capsule,210.0,250.0,Abc Pharma,17-09-2028,24-08-2026,34.0,YES,3.0,Shelf 2
MED016,Insulin,Injection,367.0,422.43,Apollo Meds,28-07-2025,04-12-2024,84.0,NO,174.0,Rack A
MED017,Paracetamol,Tablet,435.0,634.4,Healthcare Distributors,21-10-2028,12-11-2027,99.0,YES,279.0,Shelf 1
MED018,Metfromin,Syrup,180.0,522.0,Medlife Suppliers,12-01-2026,08-09-2025,90.0,NO,98.0,Cold Storage
MED020,Ibuprofen,Tablet,229.0,242.66,Medlife Suppliers,28-07-2027,05-12-2026,29.0,YES,208.0,Rack C
MED021,Azithromycin,Injection,343.0,643.77,Medlife Suppliers,20-10-2026,12-09-2025,41.0,YES,294.0,Shelf 1
MED022,Ibuprofen,Injection,248.0,124.9,Sun Pharma,12-12-2026,05-12-2026,26.0,YES,87.0,Rack C
MED023,Vitamin C,Tablet,843.0,123.0,Apollo Meds,06-04-2027,12-09-2025,24.0,YES,293.0,Rack C
MED027,Paracetamol,Capsule,923.0,76.34,Healthcare Distributors,06-04-2027,30-01-2025,96.0,YES,7.0,Shelf 1
MED029,Insulin,Injection,922.0,532.64,Healthcare Distributors,17-09-2028,21-04-2027,55.0,YES,12.0,Cold Storage
MED030,Vitamin C,Tablet,213.0,120.0,Apollo Meds,29-10-2026,01-10-2026,43.0,YES,162.0,Shelf 1
MED034,Vitamin C,Capsule,642.0,500.0,Medlife Suppliers,06-04-2027,15-05-2025,12.0,YES,300.0,Shelf 1
MED035,Dolo 650,Tablet,757.0,639.55,Medlife Suppliers,28-07-2027,24-08-2026,75.0,NO,4.0,Rack B
MED038,Metfromin,Tablet,865.0,789.09,Abc Pharma,06-04-2027,12-11-2026,29.0,YES,212.0,Cold Storage
MED041,Azithromycin,Capsule,242.0,878.23,Healthcare Distributors,12-01-2026,05-12-2025,50.0,NO,204.0,Rack B
MED042,Ibuprofen,Capsule,756.0,535.0,Abc Pharma,06-04-2027,12-09-2025,66.0,NO,155.0,Shelf 2
MED044,Cetirizine,Tablet,543.0,214.0,Apollo Meds,17-09-2028,12-09-2025,45.0,NO,184.0,Cold Storage
MED047,Paracetamol,Tablet,154.0,653.33,Abc Pharma,20-10-2026,26-07-2024,78.0,YES,23.0,Shelf 2
