Medicine_ID,Medicine_Name,Category,Stock_Quantity,Price_per_unit,Supplier_Name,Expiry_Date,Purchase_Date,Reorder_Level,Prescription_Required,Units_Sold,Storage_Location,Total_Value
MED001,Azithromycin,Injection,373.0,363.88,Healthcare Distributors,2027-07-28,05-12-2026,23.0,NO,299.0,Rack C,135727.24
MED002,Ibuprofen,Injection,12.0,512.0,Apollo Meds,2026-10-20,12-09-2025,98.0,YES ,53.0,Shelf 1,6144.0
MED003,Vitamin C,Tablet,131.0,213.9,Healthcare Distributors,2026-01-12,29-10-2025,98.0,YES ,73.0,Cold Storage,28020.9
MED004,Cetirizine,Syrup,467.0,421.11,Medlife Suppliers,2027-04-06,01-12-2026,74.0,NO,151.0,Rack A,196658.37
MED005,Azithromycin,Capsule,229.0,242.0,Abc Pharma,2027-07-28,26-07-2027,68.0,NO,247.0,Rack A,55418.0
MED006,Cetirizine,Syrup,110.0,424.89,Medlife Suppliers,2026-10-20,30-01-2025,62.0,NO,285.0,Shelf 1,46737.9
MED007,Paracetamol,Capsule,487.0,250.12,Medlife Suppliers,2026-01-12,08-11-2025,88.0,YES ,163.0,Cold Storage,121808.44
MED008,Omeprazole,Tablet,489.0,366.0,Sun Pharma,2027-04-06,21-04-2026,39.0,NO,293.0,Rack A,178974.0
MED009,Insulin,Injection,419.0,512.2,Apollo Meds,2027-11-02,01-10-2027,96.0,YES ,6.0,Shelf 2,214611.80000000002
MED010,Vitamin C,Capsule,240.0,476.77,Abc Pharma,2026-10-20,12-06-2025,67.0,YES ,44.0,Rack A,114424.79999999999
MED011,Omeprazole,Tablet,408.0,360.0,Healthcare Distributors,2026-01-12,12-07-2025,66.0,YES ,0.0,Rack A,146880.0
MED012,Vitamin C,Capsule,98.0,119.78,Apollo Meds,2027-04-06,18-05-2026,96.0,YES ,153.0,Rack B,11738.44
MED013,Metfromin,Syrup,73.0,250.66,Healthcare Distributors,2027-07-28,15-05-2025,64.0,NO,13.0,Shelf 1,18298.18
MED014,Vitamin C,Capsule,210.0,250.0,Abc Pharma,2028-09-17,24-08-2026,34.0,YES ,3.0,Shelf 2,52500.0
MED015,Dolo 650,Capsule,41.0,427.0,Healthcare Distributors,2026-10-29,31-03-2024,37.0,YES ,162.0,Shelf 1,17507.0
MED016,Insulin,Injection,367.0,422.43,Apollo Meds,2025-07-28,04-12-2024,84.0,NO,174.0,Rack A,155031.81
MED017,Paracetamol,Tablet,435.0,634.4,Healthcare Distributors,2028-10-21,12-11-2027,99.0,YES ,279.0,Shelf 1,275964.0
MED018,Metfromin,Syrup,180.0,522.0,Medlife Suppliers,2026-01-12,08-09-2025,90.0,NO,98.0,Cold Storage,93960.0
MED019,Amoxicillin,Injection,36.0,356.53,Abc Pharma,2027-04-06,16-09-2025,90.0,NO,155.0,Shelf 1,12835.079999999998
MED020,Ibuprofen,Tablet,229.0,242.66,Medlife Suppliers,2027-07-28,05-12-2026,29.0,YES ,208.0,Rack C,55569.14
MED021,Azithromycin,Injection,343.0,643.77,Medlife Suppliers,2026-10-20,12-09-2025,41.0,YES ,294.0,Shelf 1,220813.11
MED022,Ibuprofen,Injection,248.0,124.9,Sun Pharma,2026-12-12,05-12-2026,26.0,YES ,87.0,Rack C,30975.2
MED023,Vitamin C,Tablet,843.0,123.0,Apollo Meds,2027-04-06,12-09-2025,24.0,YES ,293.0,Rack C,103689.0
MED024,Cetirizine,Syrup,23.0,534.0,Abc Pharma,2027-11-02,29-10-2025,85.0,YES ,41.0,Cold Storage,12282.0
MED025,Azithromycin,Capsule,64.0,412.52,Healthcare Distributors,2026-10-20,01-12-2025,71.0,NO,276.0,Rack B,26401.28
MED026,Cetirizine,Syrup,132.0,326.89,Apollo Meds,2026-01-12,26-07-2024,26.0,NO,191.0,Rack A,43149.479999999996
MED027,Paracetamol,Capsule,923.0,76.34,Healthcare Distributors,2027-04-06,30-01-2025,96.0,YES ,7.0,Shelf 1,70461.82
MED028,Omeprazole,Injection,24.0,324.22,Abc Pharma,2027-07-28,08-11-2025,35.0,NO,166.0,Shelf 2,7781.280000000001
MED029,Insulin,Injection,922.0,532.64,Healthcare Distributors,2028-09-17,21-04-2027,55.0,YES ,12.0,Cold Storage,491094.08
MED030,Vitamin C,Tablet,213.0,120.0,Apollo Meds,2026-10-29,01-10-2026,43.0,YES ,162.0,Shelf 1,25560.0
MED031,Omeprazole,Syrup,53.0,100.1,Healthcare Distributors,2027-07-28,12-06-2025,89.0,YES ,264.0,Rack A,5305.299999999999
MED032,Vitamin C,Capsule,74.0,756.88,Medlife Suppliers,2026-10-20,12-07-2025,70.0,YES ,7.0,Rack B,56009.12
MED033,Metfromin,Syrup,134.0,479.0,Abc Pharma,2026-01-12,18-05-2024,95.0,NO,90.0,Rack A,64186.0
MED034,Vitamin C,Capsule,642.0,500.0,Medlife Suppliers,2027-04-06,15-05-2025,12.0,YES ,300.0,Shelf 1,321000.0
MED035,Dolo 651,Tablet,757.0,639.55,Medlife Suppliers,2027-07-28,24-08-2026,75.0,NO,4.0,Rack B,484139.35
MED036,Insulin,Injection,123.0,423.23,Sun Pharma,2026-10-20,31-03-2024,90.0,YES ,164.0,Cold Storage,52057.29
MED037,Paracetamol,Capsule,21.0,421.89,Apollo Meds,2026-01-12,04-12-2025,93.0,YES ,259.0,Rack A,8859.69
MED038,Metfromin,Tablet,865.0,789.09,Abc Pharma,2027-04-06,12-11-2026,29.0,YES ,212.0,Cold Storage,682562.85
MED039,Amoxicillin,Capsule,13.0,421.54,Healthcare Distributors,2027-11-02,08-09-2025,84.0,NO,167.0,Rack A,5480.02
MED040,Ibuprofen,Syrup,75.0,642.0,Apollo Meds,2026-10-20,16-09-2025,49.0,YES ,135.0,Shelf 2,48150.0
MED041,Azithromycin,Capsule,242.0,878.23,Healthcare Distributors,2026-01-12,05-12-2025,50.0,NO,204.0,Rack B,212531.66
MED042,Ibuprofen,Capsule,756.0,535.0,Abc Pharma,2027-04-06,12-09-2025,66.0,NO,155.0,Shelf 2,404460.0
MED043,Vitamin C,Injection,24.0,122.0,Healthcare Distributors,2027-07-28,05-12-2026,23.0,YES ,295.0,Shelf 1,2928.0
MED044,Cetirizine,Tablet,543.0,214.0,Apollo Meds,2028-09-17,12-09-2025,45.0,NO,184.0,Cold Storage,116202.0
MED045,Azithromycin,Syrup,132.0,543.0,Healthcare Distributors,2026-10-29,29-10-2025,76.0,YES ,59.0,Rack A,71676.0
MED046,Cetirizine,Injection,127.0,523.99,Medlife Suppliers,2027-07-28,01-12-2026,34.0,YES ,265.0,Cold Storage,66546.73
MED047,Paracetamol,Tablet,154.0,653.33,Abc Pharma,2026-10-20,26-07-2024,78.0,YES ,23.0,Shelf 2,100612.82
MED048,Omeprazole,Injection,242.0,543.55,Medlife Suppliers,2026-01-12,30-01-2025,47.0,YES ,246.0,Rack B,131539.09999999998
MED049,Insulin,Injection,432.0,134.69,Medlife Suppliers,2027-04-06,08-11-2025,93.0,YES ,110.0,Rack A,58186.08
MED050,Vitamin C,Tablet,12.0,437.99,Sun Pharma,2027-07-28,21-04-2026,30.0,YES ,132.0,Rack C,5255.88
MED051,Omeprazole,Syrup,42.0,462.44,Apollo Meds,2027-10-20,01-10-2027,56.0,YES ,33.0,Rack A,19422.48
MED052,Vitamin C,Capsule,75.0,423.78,Abc Pharma,2026-01-12,12-06-2025,23.0,NO,179.0,Rack A,31783.499999999996
MED053,Metfromin,Syrup,235.0,422.44,Healthcare Distributors,2027-04-06,12-07-2025,57.0,NO,130.0,Rack B,99273.4
MED054,Vitamin C,Capsule,235.0,764.0,Apollo Meds,2027-11-02,18-05-2026,74.0,NO,53.0,Rack B,179540.0
MED055,Dolo 652,Injection,856.0,643.0,Healthcare Distributors,2026-10-20,15-05-2025,34.0,YES ,267.0,Shelf 1,550408.0
MED056,Insulin,Injection,124.0,89.0,Abc Pharma,2026-01-12,24-08-2025,85.0,YES ,121.0,Shelf 1,11036.0
MED057,Azithromycin,Tablet,21.0,874.44,Healthcare Distributors,2027-04-06,31-03-2024,24.0,NO,160.0,Shelf 1,18363.24
MED058,Ibuprofen,Syrup,64.0,423.0,Apollo Meds,2027-07-28,04-12-2025,45.0,NO,244.0,Rack C,27072.0
MED059,Vitamin C,Capsule,42.0,290.0,Healthcare Distributors,2028-09-17,12-11-2027,66.0,NO,64.0,Shelf 2,12180.0
MED060,Cetirizine,Syrup,642.0,432.0,Medlife Suppliers,2026-10-29,08-09-2025,111.0,NO,235.0,Shelf 2,277344.0
MED061,Azithromycin,Capsule,674.0,677.55,Abc Pharma,2027-07-28,16-09-2025,65.0,NO,295.0,Rack C,456668.69999999995
MED062,Cetirizine,Tablet,532.0,733.0,Medlife Suppliers,2026-10-20,05-01-2026,83.0,YES ,176.0,Cold Storage,389956.0
MED063,Paracetamol,Injection,124.0,954.0,Medlife Suppliers,2026-01-12,12-09-2025,73.0,YES ,87.0,Rack C,118296.0
MED064,Omeprazole,Capsule,345.0,644.77,Sun Pharma,2027-04-06,05-12-2026,39.0,YES ,85.0,Rack B,222445.65
MED065,Insulin,Tablet,422.0,500.9,Apollo Meds,2027-07-28,12-09-2025,40.0,NO,42.0,Rack B,211379.8
MED066,Vitamin C,Capsule,464.0,899.4,Abc Pharma,2026-10-20,29-10-2025,72.0,NO,18.0,Cold Storage,417321.6
MED067,Omeprazole,Syrup,745.0,643.0,Healthcare Distributors,2026-01-12,01-12-2024,60.0,YES ,163.0,Rack B,479035.0
MED068,Vitamin C,Capsule,535.0,434.99,Apollo Meds,2027-04-06,26-07-2026,43.0,NO,258.0,Shelf 2,232719.65
MED069,Metfromin,Capsule,235.0,290.0,Healthcare Distributors,2027-11-02,30-01-2025,78.0,NO,8.0,Rack B,68150.0
MED070,Vitamin C,Injection,12.0,344.78,Abc Pharma,2026-10-20,08-11-2025,112.0,YES ,9.0,Rack B,4137.36
MED071,Dolo 651,Tablet,75.0,543.0,Healthcare Distributors,2026-01-12,23-04-2025,130.0,YES ,188.0,Shelf 1,40725.0
MED072,Insulin,Syrup,421.0,980.0,Apollo Meds,2027-12-06,01-10-2027,62.0,YES ,123.0,Shelf 1,412580.0
MED073,Paracetamol,Injection,535.0,106.88,Healthcare Distributors,2027-07-28,12-06-2025,88.0,NO,92.0,Rack B,57180.799999999996
MED074,Metfromin,Tablet,235.0,150.0,Medlife Suppliers,2028-09-17,12-07-2025,53.0,NO,114.0,Shelf 1,35250.0
MED075,Amoxicillin,Injection,43.0,322.0,Abc Pharma,2026-10-29,18-05-2026,94.0,YES ,1.0,Cold Storage,13846.0
MED076,Ibuprofen,Injection,242.0,43.54,Medlife Suppliers,2027-07-28,15-05-2025,66.0,NO,184.0,Rack C,10536.68
MED077,Azithromycin,Tablet,121.0,423.56,Medlife Suppliers,2026-10-20,24-08-2026,34.0,YES ,21.0,Cold Storage,51250.76
MED078,Ibuprofen,Syrup,53.0,75.4,Sun Pharma,2026-01-12,31-03-2024,133.0,YES ,177.0,Cold Storage,3996.2000000000003
MED079,Vitamin C,Capsule,246.0,243.66,Apollo Meds,2027-04-06,04-12-2025,75.0,YES ,271.0,Shelf 2,59940.36
MED080,Cetirizine,Syrup,35.0,642.0,Abc Pharma,2027-07-28,12-11-2026,53.0,YES ,111.0,Cold Storage,22470.0
MED081,Azithromycin,Capsule,235.0,645.0,Healthcare Distributors,2026-10-20,08-09-2025,39.0,NO,192.0,Rack A,151575.0
MED082,Cetirizine,Injection,644.0,423.0,Apollo Meds,2026-01-12,16-09-2025,91.0,NO,294.0,Shelf 1,272412.0
MED083,Paracetamol,Injection,232.0,677.0,Healthcare Distributors,2027-04-06,05-12-2026,10.0,NO,125.0,Rack B,157064.0
MED084,Omeprazole,Tablet,64.0,565.0,Abc Pharma,2027-11-02,12-09-2025,27.0,YES ,176.0,Shelf 2,36160.0
MED085,Insulin,Syrup,312.0,454.0,Healthcare Distributors,2026-10-20,05-06-2026,128.0,YES ,91.0,Shelf 1,141648.0
MED086,Vitamin C,Capsule,56.0,978.0,Apollo Meds,2026-01-12,12-09-2025,53.0,YES ,118.0,Cold Storage,54768.0
MED087,Omeprazole,Syrup,214.0,799.0,Healthcare Distributors,2027-04-06,29-10-2025,764.0,YES ,215.0,Shelf 2,170986.0
MED088,Vitamin C,Capsule,75.0,789.0,Medlife Suppliers,2027-07-28,01-12-2026,85.0,NO,278.0,Rack A,59175.0
MED089,Metfromin,Tablet,234.0,654.0,Abc Pharma,2028-09-17,26-07-2027,343.0,YES ,249.0,Cold Storage,153036.0
MED090,Vitamin C,Injection,987.0,453.0,Medlife Suppliers,2026-10-29,30-01-2025,54.0,YES ,190.0,Shelf 1,447111.0
MED091,Dolo 652,Capsule,24.0,374.0,Medlife Suppliers,2027-07-28,08-11-2025,77.0,NO,37.0,Shelf 1,8976.0
MED092,Insulin,Tablet,235.0,657.0,Sun Pharma,2026-10-20,20-10-2025,331.0,NO,61.0,Rack A,154395.0
MED093,Paracetamol,Capsule,13.0,234.0,Apollo Meds,2026-01-12,01-10-2024,97.0,YES ,188.0,Rack C,3042.0
MED094,Metfromin,Syrup,42.0,867.65,Abc Pharma,2027-04-06,12-06-2025,57.0,YES ,17.0,Shelf 1,36441.299999999996
MED095,Amoxicillin,Capsule,53.0,12.77,Healthcare Distributors,2027-07-28,12-07-2025,87.0,NO,257.0,Shelf 2,676.81
MED096,Ibuprofen,Capsule,412.0,867.77,Apollo Meds,2026-10-20,18-05-2026,320.0,NO,149.0,Shelf 1,357521.24
MED097,Azithromycin,Injection,642.0,234.0,Healthcare Distributors,2026-01-12,15-05-2025,110.0,NO,243.0,Cold Storage,150228.0
MED098,Ibuprofen,Tablet,224.0,190.67,Abc Pharma,2027-04-06,24-08-2026,32.0,YES ,159.0,Shelf 1,42710.079999999994
MED099,Vitamin C,Syrup,24.0,299.0,Healthcare Distributors,2027-11-02,31-03-2024,35.0,YES ,95.0,Rack B,7176.0
MED100,Cetirizine,Injection,90.0,101.99,Apollo Meds,2026-10-20,04-12-2025,70.0,YES ,170.0,Rack A,9179.1
MED101,Azithromycin,Injection,36.0,363.88,Healthcare Distributors,2027-07-28,05-12-2026,98.0,NO,107.0,Rack A,13099.68
MED102,Ibuprofen,Injection,233.0,512.0,Apollo Meds,2026-10-20,12-09-2025,98.0,YES ,111.0,Rack B,119296.0
MED103,Vitamin C,Tablet,532.0,213.9,Healthcare Distributors,2026-01-12,29-10-2025,74.0,YES ,266.0,Rack A,113794.8
MED104,Cetirizine,Syrup,234.0,421.11,Medlife Suppliers,2027-04-06,01-12-2026,68.0,NO,151.0,Rack B,98539.74
MED105,Azithromycin,Capsule,532.0,242.0,Abc Pharma,2027-07-28,26-07-2027,62.0,NO,256.0,Shelf 2,128744.0
MED106,Cetirizine,Syrup,56.0,424.89,Medlife Suppliers,2026-10-20,30-01-2025,88.0,NO,121.0,Shelf 1,23793.84
MED107,Paracetamol,Capsule,234.0,250.12,Medlife Suppliers,2026-01-12,08-11-2025,39.0,YES ,171.0,Rack A,58528.08
MED108,Omeprazole,Tablet,675.0,366.0,Sun Pharma,2027-04-06,21-04-2026,96.0,NO,53.0,Rack B,247050.0
MED109,Insulin,Injection,23.0,512.2,Apollo Meds,2027-11-02,01-10-2027,67.0,YES ,60.0,Rack B,11780.6
MED110,Vitamin C,Capsule,34.0,476.77,Abc Pharma,2026-10-20,12-06-2025,66.0,YES ,237.0,Rack C,16210.18
MED111,Omeprazole,Tablet,54.0,360.0,Healthcare Distributors,2026-01-12,12-07-2025,96.0,YES ,164.0,Rack B,19440.0
MED112,Azithromycin,Capsule,53.0,119.78,Apollo Meds,2027-04-06,18-05-2026,64.0,YES ,217.0,Shelf 1,6348.34
MED113,Ibuprofen,Syrup,76.0,250.66,Healthcare Distributors,2027-07-28,15-05-2025,34.0,NO,278.0,Rack B,19050.16
MED114,Vitamin C,Capsule,24.0,250.0,Abc Pharma,2028-09-17,24-08-2026,37.0,YES ,37.0,Rack B,6000.0
MED115,Cetirizine,Capsule,754.0,427.0,Healthcare Distributors,2026-10-29,31-03-2024,84.0,YES ,182.0,Rack C,321958.0
MED116,Azithromycin,Injection,35.0,422.43,Apollo Meds,2025-07-28,04-12-2024,99.0,NO,20.0,Rack B,14785.050000000001
MED117,Cetirizine,Tablet,753.0,634.4,Healthcare Distributors,2028-10-21,12-11-2027,90.0,YES ,127.0,Rack A,477703.2
